prompt_id,true_maze_family,representation_mode,model_name,raw_response,prompt
OPEN__features,OPEN,features,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

Maze feature summary:
Width: 15
Height: 15
Total cells: 225
Free cells: 225
Wall cells: 0
Wall density: 0.000
Start-goal Manhattan distance: 28
Dead-end count: 0
Corridor cell count: 4
Junction count: 221
Average branching factor: 3.733

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
OPEN__ascii,OPEN,ascii,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

ASCII maze representation:
Symbols: # = wall, . = free cell, S = start, G = goal
S..............
...............
...............
...............
...............
...............
...............
...............
...............
...............
...............
...............
...............
...............
..............G

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
OPEN__features_ascii,OPEN,features_ascii,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

Maze feature summary:
Width: 15
Height: 15
Total cells: 225
Free cells: 225
Wall cells: 0
Wall density: 0.000
Start-goal Manhattan distance: 28
Dead-end count: 0
Corridor cell count: 4
Junction count: 221
Average branching factor: 3.733

ASCII maze representation:
Symbols: # = wall, . = free cell, S = start, G = goal
S..............
...............
...............
...............
...............
...............
...............
...............
...............
...............
...............
...............
...............
...............
..............G

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
COMB__features,COMB,features,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

Maze feature summary:
Width: 15
Height: 15
Total cells: 225
Free cells: 85
Wall cells: 140
Wall density: 0.622
Start-goal Manhattan distance: 12
Dead-end count: 8
Corridor cell count: 71
Junction count: 6
Average branching factor: 1.976

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
COMB__ascii,COMB,ascii,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

ASCII maze representation:
Symbols: # = wall, . = free cell, S = start, G = goal
###############
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
#S...........G#
###############

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
COMB__features_ascii,COMB,features_ascii,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

Maze feature summary:
Width: 15
Height: 15
Total cells: 225
Free cells: 85
Wall cells: 140
Wall density: 0.622
Start-goal Manhattan distance: 12
Dead-end count: 8
Corridor cell count: 71
Junction count: 6
Average branching factor: 1.976

ASCII maze representation:
Symbols: # = wall, . = free cell, S = start, G = goal
###############
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
##.#.#.#.#.#.##
#S...........G#
###############

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
ASTAR_TRAP__features,ASTAR_TRAP,features,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

Maze feature summary:
Width: 15
Height: 15
Total cells: 225
Free cells: 200
Wall cells: 25
Wall density: 0.111
Start-goal Manhattan distance: 14
Dead-end count: 0
Corridor cell count: 12
Junction count: 188
Average branching factor: 3.450

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
ASTAR_TRAP__ascii,ASTAR_TRAP,ascii,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

ASCII maze representation:
Symbols: # = wall, . = free cell, S = start, G = goal
S...........#.G
............#..
.#############.
............#..
............#..
............#..
............#..
............#..
............#..
............#..
............#..
............#..
............#..
...............
...............

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
ASTAR_TRAP__features_ascii,ASTAR_TRAP,features_ascii,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

Maze feature summary:
Width: 15
Height: 15
Total cells: 225
Free cells: 200
Wall cells: 25
Wall density: 0.111
Start-goal Manhattan distance: 14
Dead-end count: 0
Corridor cell count: 12
Junction count: 188
Average branching factor: 3.450

ASCII maze representation:
Symbols: # = wall, . = free cell, S = start, G = goal
S...........#.G
............#..
.#############.
............#..
............#..
............#..
............#..
............#..
............#..
............#..
............#..
............#..
............#..
...............
...............

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
DFS_TRAP__features,DFS_TRAP,features,manual,,"You are analyzing a grid-based maze pathfinding problem.

The available classical solvers are:
BFS, DFS, Dijkstra, A*, Greedy Best-First

The possible edge-case classes are:
OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN

Selection objective:
Recommend the solver that is expected to find a shortest path while expanding as few nodes as possible. Prefer reliable shortest-path behavior over raw expansion count. Be careful: DFS and Greedy Best-First can be efficient but may be risky depending on maze structure.

Methodological note:
The feature summary excludes shortest-path-derived values so that the solver recommendation is made before running a shortest-path algorithm.

Maze feature summary:
Width: 15
Height: 15
Total cells: 225
Free cells: 48
Wall cells: 177
Wall density: 0.787
Start-goal Manhattan distance: 12
Dead-end count: 0
Corridor cell count: 48
Junction count: 0
Average branching factor: 2.000

Return JSON only with this exact schema:
{
  ""edge_case_class"": ""one of OPEN, COMB, ASTAR_TRAP, DFS_TRAP, GREEDY_TRAP, UNKNOWN"",
  ""recommended_solver"": ""one of BFS, DFS, Dijkstra, A*, Greedy Best-First"",
  ""confidence"": 0.0,
  ""reason"": ""brief explanation""
}"
